,questionText,topics,re_diagnosis,clean_answer_text
1254,"i have a relative who is in his twenties  he was in a drug rehabilitation program and got kicked out for using drugs again no one informed family that he was using drugs again  he subsequently overdosed and was found dead
is their accountability of counselors therapists or the halfway house for not reporting that he had relapsed is there a legal case for failing to report",professional ethicslegal  regulatoryaddiction,anxiety disorders,i am so sorry for your loss  generally therapists only have a duty to report self harm to ones self or others if it is expressed to them  often times they will not report relapses due to the fact that proper releases were not signed or patient has specifically asked them not to for fear of shaming or failure again  i understand this may not be the answer you were hoping for  i would encourage the family to seek therapy themselves for help coping with such a loss
1255,"my husband has had issues with alcohol addiction in the past hed never admit to this a while back  years ago i asked him to stop drinking so much and he agreed i caught him one night drinking behind my back i confronted him and he lied but i told him i knew he was lying because i counted the beers in the fridge and four of them were missing he admitted and apologized and promised he wouldnt do it again lately my husband has been drinking on and off but i noticed it was every single night i didnt like this for our new years resolution we decided we were going to limit our alcohol consumption he was on boardno more drinking every night
the other night i counted the beers in the fridge just to see if some were missing it took a couple of days but tonight i discovered a few were missing along with a shot of vodka he was passed out on the couch when i decided to wake him up and confront him poor timing but i couldnt wait i asked him if hed come to bed with me when he drinks he snores and i cannot sleepits a dead giveaway hes been drinking he slurred a bit and said no i asked if he had been drinking but he snapped and said no i went into our room to sleep leaving him on the couch 
im not sure if im overreacting or not i just feel like im so honest with him about everything and i expect the same honesty he is a good husband in every other regard",addictionmarriageintimacy,mood disorders,it can be very frustrating being lied to  the one thing that struck me was the sentence he had a alcohol addiction in the past  addiction is not something that comes and goes  once you have addict tendencies they are here to stay  you may be able to fight them off for awhile but the will enviably rear their ugly head again  some of the things that we would suggest is taking the access away  if the alcohol is not conveniently in the house he would have to go seek it out elsewhere  you can think about it in other terms  if chocolate cake was your favorite food and you were a diabetic you would not have chocolate cake lying around all the time because you know you would eventually eat it  remember there are no temporary addicts
1256,i have bipolar ii disorder im addicted to alcohol and weed and im hopeless i keep drinking even though its harming myself and others,addictionsubstance abuse,mood disorders,you are not hopeless as you can see there are many people who care about your well being and believe you can overcome this  i would suggest that you first get evaluated for your alcohol consumption  alcohol is one of the addictions that you may need to seek inpatient treatment for  if not inpatient then be monitored by a doctor  once you are evaluated and or complete inpatient treatment i would suggest you participate in a form of outpatient therapy on a consistent basis
1257,i need to speak to someone about sexual addiction and binge eating immediately,eating disordershuman sexualityaddiction,anxiety disorders,there are plenty of online providers within the mental health field that would me more than happy to speak with you immediately  many of them provide treatment on a sliding scale fee  i would google online mental health treatment providers and that should lead you to a list of providers that can help you
1258,or how to send him somewhere that can help him something like the baker act,substance abuseaddiction,mood disorders,your dad needs to be aware that he has a problem and be willing to make some changes in order for him to be motivated to stop  often times individuals will be forced to stop when they were not ready  remember we can not ever make someone do something they do not want to do  there needs to be at least a little willingness on the other party to make some changes  i would encourage you to reach out to your family or other loved ones and have a conversation with your dad regarding your concerns
1259,"im planning to have baby so i have to quit smoking  but its hard sometimes its not a physical need its mental

i cannot help myself from thinking about smoking what can i do to get rid of this addiction",substance abuseaddiction,mood disorders,it can be challenging to quite anything once we set our mind to it  we often crave the things more that we know we can not or should not have  with that being said i would encourage you to become aware of the chemical dependency part that cigarettes have on your brain and your body  then make yourself aware of the mental part the habit part  often times people will engage in smoking again just from the mere social aspect of it  make yourself aware of these and devise a plan of the things you will do instead of going out on smoke breaks or the ritual of smoking in the car on on the back porch  there are plenty of support groups out there to help with this as well  smoking cessation is a good resource
1260,"my son was diagnosed with autism a few years ago and i stopped working so that i could take care of him  i also was dealing with an abusive relationship mentally physically and emotionally now i live like a recluse and i always feel nervous around people

how can i feel more comfortable around other people",parentingrelationshipsanxiety,anxiety disorders,i would look at  getting engaged with a support network of individuals who may also have autistic children  they will understand some of the things that you are experiencing at home and you may also find someone who feels that same way as you if you have not sought professional counseling for the abusive relationship i would seek out a therapist who can help you process through it so you do not repeat similar choices in your next relationship
1261,after first meeting the client what is the process that a counselor facilitates,counseling fundamentals ,anxiety disorders,a good therapist will discuss what brought you to therapy in the first place and devise a therapy plan with you on some of the things that you may want to work on  the plan is not set in stone as things may arise during your therapy sessions you also agree on how often and when you would like to meet
1262,how does a counselor decide when to end counseling sessions or to terminate working with a client,professional ethicscounseling fundamentals ,anxiety disorders,in the best case scenario its a mutual discussion and decision if not  ive had the discussion initiated both ways by me when i sense the client has gone has far as they want by lack of interest in accepting or completing homework assignments missing or cancelling appointments usually at the last minute lack of participation during sessions  client initiates by asking me pointed questions about why the need for homework assignments by forgetting their calendar or their checkbook   by suggesting that we make appointments over longer intervals once a week to once a month for example  i rarely have had to terminate a working relationshipthats why i dont charge for the first visit so we know if we are a good fit before we start working together  then i periodically ask whether the client feels we are making progress moving in the right direction talking about the most relevant issues etc
1263,does counseling really do anything that can help people,counseling fundamentals ,anxiety disorders,experts have defined counseling as a healing relationship that helps patients by providing a space to vent process and receive unconditional support  many of my clients have expressed that they are able to find their own answers during the session because they have the right person listening to them  some thought they were safe sharing their concerns with friends or relatives who are good listeners but later they felt ashamed or guilty about what they shared  so why people should share private issues with a counselor a stranger  confidentiality is the key word  a good counseling relationship should provide a space where people are able to share their deepest thoughts and feelings allowing themselves to be vulnerable and explore those emotions that are difficult to share without implications  beyond the ability to provide a safe place counselors are trained to identify symptoms and behavioral patterns and can provide insight on how develop coping mechanisms to improve their lifei am a license professional counselor working on a private practice in puerto rico latitude counseling and also im licensed in texas where i provide theletherapy services  if you would like to learn more about the services available you may call  or visit wwwlatitudecounselingcomcómo la consejería ayuda a las personasrealmente la consejería hace algo para ayudar a otrosexpertos definen la consejería como una relación sanadora que ayuda a los pacientes proveyéndoles un espacio para ventilar procesar y recibir apoyo incondicional  algunos de mis clientes han expresado que son capaces de encontrar las respuestas a sus problemas durante la sesión de consejería porque tiene a la persona indicada escuchándolos   otros cuentan que se sentian seguros compartiendo sus preocupaciones con su familia o amigos pero esas preocupaciones afectaron sus relaciones negativamente o los dejaron con sentimientos de culpa así que por qué deben las personas compartir asuntos privados con consejero un extraño  confidencialidad es la clave  una buena relación de consejería debe proveer un espacio donde las personas puedan compartir sus más íntimos pensamientos y sentimientos permitiéndoles ser vulnerables y explorar esas emociones que son difíciles de compartir sin consecuencias mas allá de proveer un espacio seguro lo consejeros profesionales estamos entrenados para identificar síntomas patrones de conducta y proveer perspectiva en cómo desarrollar los mecanismos de defensa necesarios para mejorar la calidad de vidasoy consejera profesional licenciada en puerto rico donde practico a través de latitdue counseling también estoy licenciada en texas donde proveo servicios de teleterapia  para más información llame al  o visite wwwlatitudecounselingcom
1264,my exfiancé whom i am still seeing left me because of the pressure from all three of his teenage daughters they wanted him to try to work it out with their mom his exgirlfriend of  years he and i split three months ago but i have been seeing him pretty regularly despite the fact that he is living back with his exgirlfriend and kids he is coexisting for the kids and fighting all the time with his exgirlfriend his daughters dont want their dad with me because my two boys grown adults and on their own now had bad reputations and issues with drugs his daughters say it is embarrassing for him to be with me he and i had an absolutely amazing relationship and connect on so many levels he is getting a lot of pressure from his family and his longtime friends to do the right thing and stay with his exgirlfriend for the kids he says he wants me to wait we were going get married last year he bought me a  dress we had invitations made and everything set up but then his girls told him theyd never speak to him again if he married me he says hes trying to mend his relationship with them,family conflictrelationshipsrelationship dissolution ,mood disorders,hello it seems you are in a set of circumstances that are highly uncomfortable for you do you feel those circumstances are healthy do you find pleasure being in such a place of uncertainty why do you continue to be in this situation without meaning to appear that i might be lacking in compassion you do have the option to leave the connection completely if the harm it is doing is more that the pleasure it brings you is there a benefit to being in this relationship do you consider this situation to be for your highest good is it healthy to be involved in something that is not likely healthy or perhaps could even be seen as dysfunctional in truth only you can decide the answers to these very important questions i would encourage you to think of who benefits by being in this situation and how you might be able to find happiness in other relationships that are healthier and more positive in my clinical view based on what i read this particular relationship does not carry the joy i am sure you want nor the healthy interactions you would expect in a functional romantic engagement with another personbeating yourself up about potentially wasting all this time waiting for the other person to come around will not serve a positive purpose it likely will only lower your selfesteem there is a time to wait to see how things develop and a time to move on to other experiences you are the one to make that choice but i would encourage you to connect with your inner higher self for the most clear answer chances are you already know the answer you just need to embrace it getting in touch with a counselor in your area can also help ferret out some of the deeper issues that you might not have felt comfortable expressing here
1265,i was raped a couple months ago since then along with other unfortunately events that have occurred i have been having trouble feeling emotions its almost as if im a sociopath lacking any feeling what can i do to change this,trauma,mood disorders,you are describing a very legitimate reaction to trauma  rape is an aweful experience and i am very sorry that happened to you  when horrible things happen people often react in a way that interferes with the ability to live a normal life and function the way they did in the past  this is very common and the goal is to help you manage the stress caused by dealing with negative events and with help you can regain emotional wellbeing  this is especially important if you have had more than one negative thing happen  oftentimes the unconscious reaction is to become numb and avoid all feelings especially if more than one negative event occurred  a big part of what causes people trouble are feelings of guilt  we often blame ourselves when bad things happen it is actually difficult to comprehend the concept that we dont always have control of what happens in life  in addition when you mentioned feeling like a sociopath it sounded like you feel like your reaction is wrong  the first thing you can do is realize that your feelings and reactions are ok you arent doing anything wrong and nothing is wrong with you  the next step is to start dealing with the impact of these traumatic experiences identifying your feelings and knowing the thoughts and beliefs that are behind those emotions can help you regain your sense of happiness  research shows that understanding and expressing those thoughts and feelings can help  if doesnt sound like you need to do anything to change yourself but talking to a counselor can be helpful in managing your reaction to a incredibly traumatic experience  i hope this helps you understand your feelings and can get to a place where you enjoy life
1266,"i am in my early s and i still live with my parents because i cant afford to live alone

my mother says that if i live under her roof i have to follow her rules she is trying to control my life what should i do",family conflictparenting,anxiety disorders,that is a really tough situation that a lot of young people are experiencing right now  the first thing to under is that you cant change who your parents are and cannot change their behavior  the thing to keep in mind is that you can control your responses and actions  you may need to keep living at home with them for the next few months or years and the best way to do this is to have a plan the second thing is to keep in mind that their controlling behavior is most likely not about based your behavior  controlling parents are often driven by their concept of what will keep their children safe and happy  unfortunately this is not always accurate but keep in mind it is not a personal attack  there are ways you can deal with controlling parents  and most of them require creating a plan of actionexamples of action plansdecide in advance how youll calmly and rationally respond to your parents when you feel theyre trying to control youarrange to phone a friend or trusted adult when you feel like youre losing controltalk in person to an adult you trust there arent any quick tips on how to deal with parents who want to control you you need to find strategies that are geared to your specific family situation  get specific coping tips from books about family dynamics such astoxic parents overcoming their hurtful legacy and reclaiming your life by susan forwardcutting loose an adults guide to coming to terms with your parents by howard halperna counselor can be a good resource and provide support and guidance about issues addressing normal growth and development during periods of transition
1267,"im planning to have baby so i have to quit smoking  but its hard sometimes its not a physical need its mental

i cannot help myself from thinking about smoking what can i do to get rid of this addiction",substance abuseaddiction,mood disorders,quitting smoking can be difficult its also true that there is part that is sometimes a physical need and a part that is often connected to emotions in some way from the way that you wrote this it sounds like you may have been able to stop smoking physically but still have cravingsone thing you can do is talk with your primary care physician or obgyn about whether there is anything that you can take to help with the cravings sometimes that can very helpfulas far as the more emotional or mental piece these things come to mindsometimes a crucial part is looking at the habit of smoking and seeing what else you can do to keep your mind and hands busy there are sometimes toys like those available at office playground that may help to keep you physically occupiedthere can also be changes or additions to your routine because i imagine that smoking took up a great deal of your time maybe when you have the temptation to get up and go to have a cigarette you could have several other things that you can get up and do instead the list is endless but a few examples could be doing some physical exercise with the permission of your doctor just for a couple minutes because that could help with the craving as well completing a puzzle learning a new activity that requires using your hands painting or knitting perhapsanother piece of quitting smoking is often linked to anxiety or other emotional changes perhaps irritability depending on what it is that you may be feeling  learning other strategies to use can be helpful as wellthis can all be quite overwhelming and a very big life change i would recommend that if things do not become easier for you consider talking with a therapist then you could not only have some more strategies or ideas directly related to you but you could have very direct support for what you are trying to doi give you a lot of credit
1268,how does a counselor decide when to end counseling sessions or to terminate working with a client,professional ethicscounseling fundamentals ,anxiety disorders,"goodbyes can be hard
chances are most of the goodbyes you have experienced in your life have been
difficult saying goodbye to a therapist can be different it can be an
opportunity to create a healthy ending in a positive relationship in your life
if you work with a therapist who is skilled then saying goodbye can be just as
transformative as the therapy itself ending therapy is also known
as termination i know termination doesnt have a great ring to it
however it is what it is it is an ending of the relationship as it existed
it is reality cold and stark of course when i talk to clients i dont use the
word termination i usually say our goodbye  under what circumstances does therapy usually
end therapy should end when a client does not need further assistance is not
receiving any benefit from therapy or might be harmed by continuing to work
with a particular therapistin the best case scenario
the decision to move on from therapy and say our goodbyes happens when both
the therapist and the client feel like the client is ready to move on and move
up  ending the therapeutic relationship
should actually be worked on from the very first session what i mean by that
is there should be an understanding that the work we do together will have an
ending and that is a good thing because it means the client has gained the
skills to continue working on themselves independently so the first session i
have with clients usually outlines a plan where the end goal is discussed and
we both have an understanding of the skills the client wants to learn or what
they hope to achieve now sometimes there are
situations where the therapist ends the relationship and the client may take
that personally it is hard when any relationship ends and it might bring up
feelings of sadness and fear or abandonment any good therapist will end the
relationship based on what is right for the client what are some situations
where a therapist might end the relationshipif the situation the client
is dealing with is out of the therapists scope of practice the therapist may
end the relationship and refer the client to someone else this is in the
clients best interest another reason a therapist might end the relationship
is that the therapist is in a place in her life which prevents her from being
objective and helpful  a therapist who
is going through a painful divorce may have difficulty working with a couple
that considering divorce a good therapist may see that their judgement may be
clouded and want to refer the client to see someone else this is good practice
and helps the clientif a client is actively
suicidal or actively using substances then the therapist may end the
relationship and refer out for a higher level of care the client may need to
be hospitalized or may need an inpatient substance abuse treatment program
therapy may be terminated while they are being treated and may continue after
the intensive program is completed 
ending therapy should be a
time for connection and bringing together accomplishments or reviewing the
next important step the client needs to take it should not be an experience of
abandonment a skilled therapist will help a client gain a new perspective on
closure for some clients it may be the one time in their lives when they get
a clean ending in a healthy relationship and they get to feel a sense of
control on creating that ending good luck to you"
1269,"im planning to have baby so i have to quit smoking  but its hard sometimes its not a physical need its mental

i cannot help myself from thinking about smoking what can i do to get rid of this addiction",substance abuseaddiction,mood disorders,it is very good news that you realize the risks of smoking cigarettes while pregnant and are willing to stopthinking about smoking is a typical and frequent reaction to being without the substancebe creative with what you know about yourself to distract you when this psychological urge comes up  my suggestions are to imagine smoking if you find this would relieve the sense of wanting to smokeor do the opposite and remind yourself of all the good reasons to not smokealso since youre planning pregnancy then ask your partner for ideas on how to make the psychological feeling to want to smoke feel less intenseanother suggestion is that your partner is your texting buddy to stop smoking   with aa groups a sponsor is always available for the alcoholic who feels distress about the urge to drink   having a trusted and caring person to tell about your problem helps in many situations  maybe it will help you to stop smokinggood luck
1270,im a teenager and ive been sneaking out of my house at night for a year now ive been caught several times  i want to stop doing this but i dont know where to start how do i stop,children  adolescentsbehavioral change,anxiety disorders,where do you go and what is your reason to go wherever this istry to understand these reasons because the answers may give you good guidance as to other ways to get what   it is your trying to reach by sneaking from your home at nightif for example youre sneaking out because your parents are arguing and you feel hurt by this and want to escape hearing their arguments then you can come up with other ways to hear less of their argumentsif you sneak out bc your parents restrict your friends or time to socialize with your friends and your friends are doing legal and safe behaviors then maybe you could do some socializing online w themalso i wonder the reason why either of your parents isnt aware that you leave the house  do you feel your parent would offer and would you ask your parent to give their suggestions so you feel more motivated to stay home
1271,"i keep having these random thoughts that i dont want  things like you arent worth anything  i know theyre my own thoughts but it feels like someone else is saying it

what is wrong with me and how can i stop having these thoughts",diagnosis,anxiety disorders,those  critical thoughts most likely came into your mind as the way you understood what one of your parents or some other adult who was very meaningful to you at a very young agewhen we are too young to distinguish whether what a grown person tells us feels accurate we absorb their opinions as our ownyour question shows youve reached the point of emotional maturity to know that your opinion about yourself is not the same as what is inside your emotional brain and stored there since you were too young to know that someone elses opinions are not necessarily your opinionsnothing is wrong with you everything is right with you to wonder how to more firmly establish your own point of viewstart the habit to revise any viewpoints about yourself which dont feel truethen replace these thoughts with better ones which you decide on your ownafter a while of doing this youll either automatically think the more positive thoughts about yourself or at least be in the habit to know that negative viewpoints about you are not necessarily true
1272,how does a counselor decide when to end counseling sessions or to terminate working with a client,professional ethicscounseling fundamentals ,anxiety disorders,counseling ends when the client has received the maximum benefit from the therapist even if the therapist believes the client is not making progress the client may feel they are improving and receiving a benefit and the therapist may see a benefit and the client does not it is best to have ongoing dialogue with the client to determine when termination is appropriate
1273,how does a counselor decide when to end counseling sessions or to terminate working with a client,professional ethicscounseling fundamentals ,anxiety disorders,there are several reasons for a counselor to decide to end counseling  a major reason to end counseling is if the counselor feels that he or she does not have the skills or experience to work with the client  this may happen during the intake process or after working with the client for some time  if the clinician feels that the client is not benefitting from the therapy it is ethical to suggest that the client terminate the therapy  the process of termination must not injure the client and if necessary the clinician may need to refer the client to other treatment modalities  another reason to terminate working with a client is if the client needs a higher level of care  if the client has a crisis or is at risk of hurting himself or someone else he or she may need a higher level of care  in this circumstance the clinician may need to involve outside services such as a crisis unit  a third reason to terminate with a client is if the clinician feels that he or she cannot remain professional with the client relationship  for example if the issues that the client is working on bring up something significant for the clinician and the clinician feels that he is unable to separate that from the professional relationship  in this instance the clinician should refer the client to another therapist  finally if the client has reached her goals for therapy and no longer needs treatment the clinician and client should terminate treatment
1274,what are some difficulties that a counselor can encounter when dealing with a client,counseling fundamentals ,anxiety disorders,each counselor will have their own list of difficulties in doing therapy work with a client  even if clinically trained similarly since counselors are human then their response to your question will reflect their unique differences as humanson my list is when the emotional pain i feel for someone describing some type of injustice or unfair treatment by another feels very deepsometimes i feel like avoiding the pain i feel by asking questions which will steer the conversation away from the painful areas the client talks aboutwhat in fact is necessary to clear out their pain is to step further into so as to realize their emotional pain isnt greater than who they are
1275,does counseling really do anything that can help people,counseling fundamentals ,anxiety disorders,yes counseling can help peoplehow this happens is bc the counselor can guide the person or couple into deeper areas of their thoughts and emotions than the person or partners would typically avoid or not even realize they are avoidingalso a counseling session offers emotional safety because the therapist will intervene with thoughtful questions if someones strong emotions overwhelm themthis is different than in everyday circumstances  when someone feels overwhelmed by their own or someone elses feelings there is no one who asks reflective questionslast people get better in therapy because often therapy is the first time the person has a chance to trust someone with their confidential information and know this information will always be protected
1276,"im planning to have baby so i have to quit smoking  but its hard sometimes its not a physical need its mental

i cannot help myself from thinking about smoking what can i do to get rid of this addiction",substance abuseaddiction,mood disorders,hopefully you feel you have the time to follow this procedure for a week  log when you smoke  time place and activity plan on cutting back  for a weekcut out the easiest timesnext change the times and and activities for  days  consider water or candy or gum if it is very tough  cut another  each week until you are done
1277,how does a counselor decide when to end counseling sessions or to terminate working with a client,professional ethicscounseling fundamentals ,anxiety disorders,i will work with clients and continually review progress with them and determine if counseling is helping  if a client appears to have less to talk about in sessions appears more stable for a period of time and has reached therapeutic goals i will talk about termination  some clients however i may continue with on a monthly or bi monthly process to allow for checkins to see how they are doing and if they need more help at that time
1278,"i am in my early s and i still live with my parents because i cant afford to live alone

my mother says that if i live under her roof i have to follow her rules she is trying to control my life what should i do",family conflictparenting,anxiety disorders,hello it sounds like you and your parents are not balanced in your communication and awareness of expectations your growth is not only reflected in your ability to understand and apply new knowledge and skills it is also reflective of your parents acceptance of your understanding and application have you tried talking with your parents to let them know your concernsthis talking is best when face to face and during non active conflict  cant begin stating rules during an argument etc sometimes it is even helpful to write down ways you feel you can be supported by them and supportive to them maybe share this list or reflective piece with them to review or use when communicating the expectations unfortunately until there are clear expectations stated and expressed the scale will be uneven and frustrations will increase dr t
1279,after first meeting the client what is the process that a counselor facilitates,counseling fundamentals ,anxiety disorders,after meeting a client many counselors will ask you lots of questions in order to complete a thorough assessment of what you came to counseling for this assessment is required by most insurances and allows the counselor to give a diagnosis which is also required by most insurances in order for them to pay the counselor if you are paying out of pocket this diagnosis is not really required for payment but many counselors will still perform a comprehensive assessment because we really want to know what the issues are that brought you to us the better we understand what it is that bothers you what you would like to get out of the counseling and all the various things that tend to affect people such as family upbringing and medical issues the easier it is for us to help you reach those goals how the counseling actually plays out from there depends a lot on the theory that the counselor uses to direct their approach to counseling and that information is too much for this little post
1280,i start counselingtherapy in a few days im freaking out but my main fear is that ill cry and embarrass myself is it something to worry about,anxietycounseling fundamentals ,anxiety disorders,many people cry during their therapy sessions actually most people cry in their therapists office i tell my clients that its safe to cry in my office and crying isnt a sign of weakness its a normal human response to pain people actually do more harm to themselves by trying not to cry than by crying crying is very cleansing and an important part of the healing process for many people
1281,how does a counselor decide when to end counseling sessions or to terminate working with a client,professional ethicscounseling fundamentals ,anxiety disorders,in general i usually let the client decide when this should occur sometimes with some clients it will be a joint agreement but even in that case it should weigh mostly on what the client feels in short therapy ends when you feel your donec
1282,"ive been bullied for years and the teachers have done nothing about it i havent been diagnosed with depression but i have been extremely sad for years

how can i deal with being bullied at school when the teachers wont help",children  adolescents,anxiety disorders,to be bullied is very painfulim glad you know the bullies are doing the wrong thing and whatever they are telling you is pure meannessdepending on how independent you feel why not tell either your classroom teacher or schedule an appointment with the vice principalbullying other students is taken very seriously in some states and schools are expected to address the bullying until the victimized student feels safeif you hesitate to do this on your own then would you ask either of your parents or even a friend of yours who is also in the school to report the problemin case you are afraid the bullies will retaliate for reporting them then tell this to whatever school authority you decide to ask for helpyoure entitled to be protected by your school
1283,i need help knowing how to deal with stress what can i do,stress,stressrelated disorders,something different works for each of usthere are the outward answers of selfpampering and making your home and work environment as pleasant as possiblea deeper level way to decrease stress is through exercise or alternative practices like yoga or tai chiif the stress is more deeply rooted than temporarily feeling irritated for a few days then give yourself some time to reflect and clarify what the meaning of the stress is to youselfunderstanding and appreciating your efforts to know yourself may decrease stress because youll be more focused and attentive to who you are  this will influence you overall to make good decisions for yourself and these will naturally be ones which decrease stress as much as possible
1284,"ive hit my head on walls and floors ever since i was young  i sometimes still do it but i dont exactly know why 

i have anxiety and i had a rough childhood but now ill start to hit my head and sometimes not realize it but i dont know how to stop or even why im doing it 

how can i help myself to change my behavior",behavioral changeanxiety,anxiety disorders,hello i have to wonder from a behavioral perspective if what you are doing is useful for you in other words does it serve a purpose in some way when you find yourself doing it yes this could well be an expression of anxiety or maybe some type of coping skill you have developed over the years to deal with stressful situations yet it sounds like you have developed a sort of kneejerk behavioral conditioning that causes you to do this behavior during specific or perhaps even nonspecific circumstances do you think it is a selfsoothing behavior do you feel good after you have done it the behavior itself is likely causing some form of slow physical damage so i would recommend you have yourself checked by a doctor to rule out any injury if none exists this obviously doesnt excuse the behavior it just says that for the moment luck is on your sidewhen we do any behavior of any kind it is good to ask if what we are doing has merit or value is the behavior helping us to solve our problem or is it merely creating yet another problem by doing the behavior in the first place in the same way that a person might drink excessively because they are stressed and need to cope with some unresolved issue when they are done drinking the original problem will still likely be there but now they are intoxicated no closer to solving the issue when we deal with things like anxiety or depression we need to do things that work on dealing with the symptoms but also get to the root issue that created those feelings and find effective solutions so the things we do to cope with life events need to not be ones that cause us harm but rather support us as we move forward and work to deal with what life throws at ussometimes seeking support from a friend or a counselor is a good idea being given the opportunity to express your feelings about what is going on around you and getting feedback and insight from others is much more effective than actions of selfharm wouldnt you agree so i would encourage you to find a counselor or a trusted friend who can help you find positive behaviors you can take to deal with your feelings as you also work to find the answers to the day to day issues of living a life filled with promise and opportunityreach out if you need helpthere will likely be a hand there waiting for you
1285,every winter i find myself getting sad because of the weather  how can i fight this,depression,mood disorders,one theory is that instead of fighting your feelings accept your sad feelings and work with them   feeling sad may open many doors to reflect and make peace with the source of your sadnessalso i believe fighting against the natural cycle of rest and hibernation may not even be possible to succeed   winter for most creatures is a time of withdrawal and slowdown  our bodies and moods are part of nature as well  fighting what is part of nature seems like a tiring fight which the person will loselast point there are the winter holidays to break up the dark and cold of winter   maybe you can invent some of your own winter celebrations so youll have a few gatherings to look forward to hosting
1286,"ive never been able to talk with my parents my parents are in their sixties while i am a teenager i love both of them but not their personalities i feel that they do not take me seriously whenever i talk about a serious event in my life if my dad doesnt believe me then my mom goes along with my dad and acts like she doesnt believe me either im a pansexual but i cant trust my own parents
ive fought depression and won however stress and anxiety are killing me i feel that my friends dont listen to me i know they have their own problems which i do my best to help with but they dont always try to help me with mine when i really need them i feel as if my childhood has been taken from me i feel as if i have no one whom i can trust",anxietyfamily conflictdepressionstresssocial relationships,anxiety disorders,life sounds extremely frustrating for you right nowas long as youve reached your conclusion that your parents do not take you seriously when you would like to speak with them on a serious topic and that you feel unable to trust either of them then work with your own informationmany people dont know how to listen and arent trustworthy  as painful and aggravating as having parents who fit this description youre better off to honor what you realize than to continue fighting what is not in your hands to changesince you write about having a similar problem with friends then maybe this comes about because you pick friends who are similarly unsatisfying to be with as are your parentsthe first step out of this dilemma would be to accept how crummy you feel about the way your parents are toward youif youre able to live with the sadness and resentment of having parents who dont want to know how to understand you then youll start to develop a new and more satisfying definition of what you expect from the behaviors of your friendstrust yourself that what you feel and see is accurate then it becomes easier to trust and welcome new people who are formatted differently than either your parents or your friends who sound very similar to your parents ways
1287,"my brother has been diagnosed with paranoid schizophrenia and has not been taking his medication hes been using methamphetamine and alcohol and was found sleeping naked in my step mom driveway in  degree weather

i was adopted in by his dad who just passed and his mother will not get involved because shes afraid of financial responsibility 

do i have the rights to be able to sign my brother into mentalhealth facility",family conflictlegal  regulatorysubstance abuse,anxiety disorders,the answer depends on what state you livesince the description you write here is that your brother may be a serious risk to himself and others it is worth contacting a mental health hotline or one of your local area hospitals and talk to a social worker or other professional level person in their psychiatry department  ask the same question you posted here   your question is a good one and merits serious follow through
1288,i feel like i am internally screaming all the time externally i am calm but i have this intense unidentifiable emotion constantly i dont feel sad i dont cry a lot i feel rather emotionally distant other than the internal screaming it kind of feels like im a caged animal,depression,mood disorders,it sounds like you are trying to find a label to help you to understand why you are feeling the way you are feeling  sometimes there are no labels for how we feel  sometimes there is no name for the emotions that we are experiencing regardless you do not have to continue to feel this way no matter what you call it  if you are seeking to experience an internal calmness such as your external calmness you may want to try some mindfulness practices or meditation  however being able to get at the root cause of what you are feeling may be what you need to help you release this feeling for the long term  i recommend seeking support for this to allow this internal screaming to get some air and begin to breathe
1289,how does a person start the counseling process,counseling fundamentals ,anxiety disorders,the first thing to do is to reflect on what you want to seek counseling search online and then set up a phone consultation a person can find out a lot about a counselor and the services that they offer over the phone after a consultation then set up an intake questions the overall goal is to make sure that you are comfortable with the counselor and the services they can offer
